1,3
2,3
3,3
4,2
5,2
6,3
7,2
8,2
9,2
10,3
11,2
12,3
13,3
14,3
15,2
16,2
17,3
18,3
19,2
20,2
21,3
22,3
23,2
24,2
25,2
26,3
27,3
28,3
29,3
30,3
31,2
32,2
33,2
34,2
35,2
36,2
37,3
38,2
39,3
40,3
41,2
42,2
43,3
44,2
45,2
46,3
47,3
48,3
49,2
50,2
51,3
52,2
53,3
54,2
55,3
56,2
57,3
58,2
59,2
60,3
61,3
62,3
63,3
64,2
65,3
66,2
67,3
68,3
69,3
70,3
71,3
72,2
73,3
74,2
75,3
76,3
77,3
78,2
79,3
80,2
81,3
82,3
83,3
84,3
85,2
86,2
87,3
88,3
89,3
90,2
91,2
92,3
93,3
94,2
95,3
96,2
97,2
98,2
99,2
100,3
101,3
102,2
103,3
104,3
105,2
106,3
107,2
108,2
109,2
110,2
111,3
112,3
113,2
114,3
115,3
116,2
117,2
118,3
119,2
120,3
121,2
122,2
123,2
124,3
125,2
126,0
127,2
128,1
129,1
130,2
131,1
132,3
133,2
134,3
135,0
136,3
137,3
138,0
139,0
140,1
141,3
142,3
143,1
144,2
145,2
146,0
147,3
148,0
149,0
150,3
151,0
152,1
153,0
154,2
155,2
156,3
157,1
158,3
159,3
160,3
161,1
162,2
163,3
164,0
165,1
166,1
167,0
168,3
169,1
170,0
171,1
172,1
173,0
174,3
175,3
176,1
177,1
178,1
179,2
180,2
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
